A1CF	Q9NQ94
EXOC7	Q9UPT5
EXOSC1	Q9Y3B2
EXOSC10	Q01780
EXOSC2	Q13868
EXOSC3	Q9NQT5
EXOSC4	Q9NPD3
EXOSC5	Q9NQT4
EXOSC6	Q5RKV6
EXOSC7	Q15024
EXOSC8	Q96B26
EXOSC9	Q06265
EYA1	Q99502
EYA3	Q99504
EZH2	Q15910
EZR	P15311
F11R	Q9Y624
FABP5	Q01469
FADD	Q13158
FADS2	O95864
FAF1	Q9UNN5
FAH	P16930
FAHD1	Q6P587
FAHD2A	Q96GK7
FAM102B	Q5T8I3
FAM111A	Q96PZ2
FAM111B	Q6SJ93
FAM114A2	Q9NRY5
FAM118B	Q9BPY3
FAM120A	Q9NZB2
FAM120B	Q96EK7
FAM120C	Q9NX05
FAM129B	Q96TA1
FAM133B	Q5BKY9
FAM149B1	Q96BN6
FAM168B	A1KXE4
FAM169A	Q9Y6X4
FAM192A	Q9GZU8
FAM193A	P78312
FAM207A	Q9NSI2
FAM208A	Q9UK61
FAM234A	Q9H0X4
FAM32A	Q9Y421
FAM49B	Q9NUQ9
FAM50A	Q14320
FAM83H	Q6ZRV2
FAM91A1	Q658Y4
FAM98A	Q8NCA5
FAM98B	Q52LJ0
FANCD2	Q9BXW9
FANCI	Q9NVI1
FAR1	Q8WVX9
FARP2	O94887
FARSA	Q9Y285
FARSB	Q9NSD9
FASN	P49327
FASTK	Q14296
FASTKD1	Q53R41
FASTKD2	Q9NYY8
FASTKD3	Q14CZ7
FASTKD5	Q7L8L6
FAU	P35544
FBL	P22087
FBLL1	A6NHQ2
FBN1	P35555
FBRS	Q9HAH7
FBRSL1	Q9HCM7
FBXL18	Q96ME1
FBXO21	O94952
FBXO22	Q8NEZ5
FBXO30	Q8TB52
FBXO5	Q9UKT4
FBXO9	Q9UK97
FCF1	Q9Y324
FDPS	P14324
FDX1	P10109
FDXR	P22570
FEN1	P39748
FERMT2	Q96AC1
FGF10	O15520
FGF23	Q9GZV9
FGFR1OP	O95684
FH	P07954
FHL1	Q13642
FHL2	Q14192
FHOD1	Q9Y613
FIP1L1	Q6UN15
FKBP10	Q96AY3
FKBP15	Q5T1M5
FKBP1A	P62942
FKBP2	P26885
FKBP3	Q00688
FKBP4	Q02790
FKBP5	Q13451
FKBP7	Q9Y680
FKBP8	Q14318
FKBP9	O95302
FLAD1	Q8NFF5
FLI1	Q01543
FLII	Q13045
FLNA	P21333
FLNB	O75369
FLNC	Q14315
FLYWCH2	Q96CP2
FMC1	Q96HJ9
FMR1	Q06787
FN1	P02751
FN3KRP	Q9HA64
FNBP1	Q96RU3
FNBP4	Q8N3X1
FNDC3A	Q9Y2H6
FNDC3B	Q53EP0
FNTA	P49354
FNTB	P49356
FOCAD	Q5VW36
FOLR2	P14207
FOXK1	P85037
FPGT	O14772
FRA10AC1	Q70Z53
FRG1	Q14331
FRYL	O94915
FSCN1	Q16658
FSD1	Q9BTV5
FTH1	P02794
FTO	Q9C0B1
FTSJ3	Q8IY81
FUBP1	Q96AE4
FUBP3	Q96I24
FUCA1	P04066
FUCA2	Q9BTY2
FUS	P35637
FXR1	P51114
FXR2	P51116
FYCO1	Q9BQS8
FYTTD1	Q96QD9
FZD2	Q14332
FZD8	Q9H461
G3BP1	Q13283
G3BP2	Q9UN86
G6PC3	Q9BUM1
G6PD	P11413
GAA	P10253
GABARAPL2	P60520
GABPA	Q06546
GADD45GIP1	Q8TAE8
GAK	O14976
GALK1	P51570
GALNT2	Q10471
GAN	Q9H2C0
GANAB	Q14697
GAPDH	P04406
GAPVD1	Q14C86
GAR1	Q9NY12
GARS	P41250
GART	P22102
GAS2	O43903
GATA3	P23771
GATAD2A	Q86YP4
GATAD2B	Q8WXI9
GBA	P04062
GBE1	Q04446
GBF1	Q92538
GBP1	P32455
GCA	P28676
GCC1	Q96CN9
GCC2	Q8IWJ2
GCDH	Q92947
GCFC2	P16383
GCLC	P48506
GCLM	P48507
GCN1	Q92616
GCSH	P23434
GDA	Q9Y2T3
GDI1	P31150
GDI2	P50395
GEMIN4	P57678
GEMIN5	Q8TEQ6
GEMIN6	Q8WXD5
GFM1	Q96RP9
GFPT1	Q06210
GFRA1	P56159
GGA1	Q9UJY5
GGA2	Q9UJY4
GGCT	O75223
GGH	Q92820
GGNBP2	Q9H3C7
GIGYF1	O75420
GIGYF2	Q6Y7W6
GINS1	Q14691
GINS2	Q9Y248
GINS3	Q9BRX5
GINS4	Q9BRT9
GIPC1	O14908
GIT1	Q9Y2X7
GIT2	Q14161
GLA	P06280
GLB1	P16278
GLE1	Q53GS7
GLMN	Q92990
GLO1	Q04760
GLOD4	Q9HC38
GLRX3	O76003
GLS	O94925
GLUD1	P00367
GLUL	P15104
GLYR1	Q49A26
GM2A	P17900
GMDS	O60547
GMFB	P60983
GMNN	O75496
GMPPA	Q96IJ6
GMPR2	Q9P2T1
GMPS	P49915
GNAI2	P04899
GNAI3	P08754
GNAS	O95467
GNB1	P62873
GNB2	P62879
GNE	Q9Y223
GNG12	Q9UBI6
GNL1	P36915
GNL2	Q13823
GNL3	Q9BVP2
GNL3L	Q9NVN8
GNPDA1	P46926
GNPNAT1	Q96EK6
GNPTAB	Q3T906
GOLGA2	Q08379
GOLGA3	Q08378
GOLGA4	Q13439
GOLGB1	Q14789
GOLIM4	O00461
GOLPH3	Q9H4A6
GON4L	Q3T8J9
GOPC	Q9HD26
GORASP2	Q9H8Y8
GOT1	P17174
GOT2	P00505
GP2	P55259
GPATCH1	Q9BRR8
GPATCH11	Q8N954
GPATCH4	Q5T3I0
GPATCH8	Q9UKJ3
GPBP1	Q86WP2
GPBP1L1	Q9HC44
GPC4	O75487
GPD2	P43304
GPER1	Q99527
GPHN	Q9NQX3
GPI	P06744
GPKOW	Q92917
GPN1	Q9HCN4
GPN3	Q9UHW5
GPR101	Q96P66
GPR161	Q8N6U8
GPRASP2	Q96D09
GPS1	Q13098
GPSM1	Q86YR5
GPX1	P07203
GRB2	P62993
GRHPR	Q9UBQ7
GRIN2C	Q14957
GRIPAP1	Q4V328
GRK6	P43250
GRN	P28799
GRPEL1	Q9HAV7
GRSF1	Q12849
GRWD1	Q9BQ67
GSDMA	Q96QA5
GSK3A	P49840
GSK3B	P49841
GSN	P06396
GSPT1	P15170
GSPT2	Q8IYD1
GSR	P00390
GSS	P48637
GSTK1	Q9Y2Q3
GSTM2	P28161
GSTM3	P21266
GSTO1	P78417
GSTP1	P09211
GSTZ1	O43708
GTF2A1	P52655
GTF2B	Q00403
GTF2E1	P29083
GTF2E2	P29084
GTF2F1	P35269
GTF2F2	P13984
GTF2I	P78347
GTF3C1	Q12789
GTF3C2	Q8WUA4
GTF3C3	Q9Y5Q9
GTF3C4	Q9UKN8
GTF3C5	Q9Y5Q8
GTF3C6	Q969F1
GTPBP1	O00178
GTPBP10	A4D1E9
GTPBP4	Q9BZE4
GTPBP6	O43824
GTPBP8	Q8N3Z3
GTSE1	Q9NYZ3
GUF1	Q8N442
GUK1	Q16774
GUSB	P08236
GXYLT1	Q4G148
GYS1	P13807
H1F0	P07305
H1FX	Q92522
H2AFV	Q71UI9
H2AFY	O75367
HABP4	Q5JVS0
HACD3	Q9P035
HADH	Q16836
HADHA	P40939
HADHB	P55084
HARS	P12081
HARS2	P49590
HAT1	O14929
HAUS2	Q9NVX0
HAUS3	Q68CZ6
HAUS5	O94927
HAUS6	Q7Z4H7
HAUS8	Q9BT25
HAVCR2	Q8TDQ0
HAX1	O00165
HBS1L	Q9Y450
HCFC1	P51610
HDAC1	Q13547
HDAC2	Q92769
HDAC3	O15379
HDAC6	Q9UBN7
HDAC7	Q8WUI4
HDAC8	Q9BY41
HDDC2	Q7Z4H3
HDDC3	Q8N4P3
HDGF	P51858
HDGFL2	Q7Z4V5
HDGFL3	Q9Y3E1
HDHD5	Q9BXW7
HDLBP	Q00341
HEATR1	Q9H583
HEATR3	Q7Z4Q2
HEATR5A	Q86XA9
HEATR5B	Q9P2D3
HEATR6	Q6AI08
HEBP2	Q9Y5Z4
HECA	Q9UBI9
HECTD1	Q9ULT8
HECTD3	Q5T447
HELB	Q8NG08
HELLS	Q9NRZ9
HELZ	P42694
HELZ2	Q9BYK8
HERC1	Q15751
HERC2	O95714
HERC5	Q9UII4
HEXA	P06865
HEXB	P07686
HEXIM1	O94992
HGH1	Q9BTY7
HGS	O14964
HIBADH	P31937
HIBCH	Q6NVY1
HIKESHI	Q53FT3
HINT1	P49773
HINT2	Q9BX68
HIP1	O00291
HIP1R	O75146
HIRIP3	Q9BW71
HIST1H1B	P16401
HIST1H1C	P16403
HIST1H1D	P16402
HIST1H1E	P10412
HIST1H2AI	P0C0S8
HIST1H4A	P62805
HK1	P19367
HK2	P52789
HLA-A	P04439
HLTF	Q14527
HMBS	P08397
HMCES	Q96FZ2
HMGA1	P17096
HMGB1	P09429
HMGB2	P26583
HMGB3	O15347
HMGCS1	Q01581
HMGN1	P05114
HMGN2	P05204
HMGN5	P82970
HMGXB4	Q9UGU5
HMMR	O75330
HNRNPA0	Q13151
HNRNPA1	P09651
HNRNPA1L2	Q32P51
HNRNPA2B1	P22626
HNRNPA3	P51991
HNRNPAB	Q99729
HNRNPC	P07910
HNRNPCL1	O60812
HNRNPD	Q14103
HNRNPDL	O14979
HNRNPF	P52597
HNRNPH1	P31943
HNRNPH2	P55795
HNRNPH3	P31942
HNRNPK	P61978
HNRNPL	P14866
HNRNPLL	Q8WVV9
HNRNPM	P52272
HNRNPR	O43390
HNRNPU	Q00839
HNRNPUL1	Q9BUJ2
HNRNPUL2	Q1KMD3
HOMER1	Q86YM7
HOOK1	Q9UJC3
HOOK3	Q86VS8
HOXB6	P17509
HP1BP3	Q5SSJ5
HPF1	Q9NWY4
HPGDS	O60760
HPRT1	P00492
HPS5	Q9UPZ3
HS1BP3	Q53T59
HSD17B10	Q99714
HSD17B12	Q53GQ0
HSD17B4	P51659
HSP90AA1	P07900
HSP90AB1	P08238
HSP90AB2P	Q58FF8
HSP90B1	P14625
HSPA12A	O43301
HSPA13	P48723
HSPA14	Q0VDF9
HSPA1A	P0DMV8
HSPA2	P54652
HSPA4	P34932
HSPA4L	O95757
HSPA5	P11021
HSPA6	P17066
HSPA8	P11142
HSPA9	P38646
HSPB1	P04792
HSPB11	Q9Y547
HSPBP1	Q9NZL4
HSPD1	P10809
HSPE1	P61604
HSPH1	Q92598
HTATSF1	O43719
HTT	P42858
HUWE1	Q7Z6Z7
HYOU1	Q9Y4L1
IARS	P41252
IARS2	Q9NSE4
IBA57	Q5T440
IBTK	Q9P2D0
ICA1L	Q8NDH6
ICAM1	P05362
ICE1	Q9Y2F5
ICE2	Q659A1
ICOSLG	O75144
IDE	P14735
IDH1	O75874
IDH2	P48735
IDH3A	P50213
IDH3B	O43837
IDI1	Q13907
IFI16	Q16666
IFI44	Q8TCB0
IFIH1	Q9BYX4
IFIT2	P09913
IFIT5	Q13325
IFRD1	O00458
IFT27	Q9BW83
IFT74	Q96LB3
IFT81	Q8WYA0
IGBP1	P78318
IGF1R	P08069
IGF2BP1	Q9NZI8
IGF2BP2	Q9Y6M1
IGF2BP3	O00425
IGF2R	P11717
IGHA1	P01876
IGHMBP2	P38935
IGLC2	P0DOY2
IGSF3	O75054
IK	Q13123
IKBKG	Q9Y6K9
IL1RAP	Q9NPH3
ILF2	Q12905
ILF3	Q12906
ILK	Q13418
ILKAP	Q9H0C8
IMMT	Q16891
IMP3	Q9NV31
IMP4	Q96G21
IMPA1	P29218
IMPDH1	P20839
IMPDH2	P12268
INCENP	Q9NQS7
INF2	Q27J81
INO80E	Q8NBZ0
INPPL1	O15357
INSR	P06213
INTS1	Q8N201
INTS12	Q96CB8
INTS13	Q9NVM9
INTS14	Q96SY0
INTS2	Q9H0H0
INTS3	Q68E01
INTS4	Q96HW7
INTS5	Q6P9B9
INTS7	Q9NVH2
IP6K1	Q92551
IPMK	Q8NFU5
IPO11	Q9UI26
IPO4	Q8TEX9
IPO5	O00410
IPO7	O95373
IPO8	O15397
IPO9	Q96P70
IPPK	Q9H8X2
IQCB1	Q15051
IQCE	Q6IPM2
IQCG	Q9H095
IQGAP1	P46940
IQGAP2	Q13576
IQGAP3	Q86VI3
IQSEC1	Q6DN90
IRAK1	P51617
IREB2	P48200
IRF2BP1	Q8IU81
IRF2BP2	Q7Z5L9
IRGQ	Q8WZA9
IRS4	O14654
ISG20L2	Q9H9L3
ISOC1	Q96CN7
IST1	P53990
ISY1	Q9ULR0
ISYNA1	Q9NPH2
ITCH	Q96J02
ITGA1	P56199
ITGA2	P17301
ITGA3	P26006
ITGA6	P23229
ITGB1	P05556
ITPA	Q9BY32
ITPKA	P23677
ITPR1	Q14643
ITPR2	Q14571
ITPR3	Q14573
ITPRID2	P28290
IWS1	Q96ST2
JMJD1C	Q15652
JMJD6	Q6NYC1
JPT1	Q9UK76
JPT2	Q9H910
JUN	P05412
JUP	P14923
KANK2	Q63ZY3
KARS	Q15046
KAT5	Q92993
KAT6A	Q92794
KAT7	O95251
KATNA1	O75449
KATNB1	Q9BVA0
KBTBD6	Q86V97
KCTD12	Q96CX2
KCTD15	Q96SI1
KCTD5	Q9NXV2
KDELC1	Q6UW63
KDELC2	Q7Z4H8
KDM1A	O60341
KDM3B	Q7LBC6
KDM4A	O75164
KDM5C	P41229
KEAP1	Q14145
KHDRBS1	Q07666
KHDRBS3	O75525
KHSRP	Q92945
KIAA0232	Q92628
KIAA0355	O15063
KIAA0391	O15091
KIAA0753	Q2KHM9
KIAA1324	Q6UXG2
KIAA1522	Q9P206
KIAA1671	Q9BY89
KIDINS220	Q9ULH0
KIF11	P52732
KIF13B	Q9NQT8
KIF14	Q15058
KIF15	Q9NS87
KIF18A	Q8NI77
KIF1B	O60333
KIF1BP	Q96EK5
KIF1C	O43896
KIF20A	O95235
KIF20B	Q96Q89
KIF23	Q02241
KIF2A	O00139
KIF2C	Q99661
KIF3A	Q9Y496
KIF3B	O15066
KIF4A	O95239
KIF5B	P33176
KIF5C	O60282
KIF7	Q2M1P5
KIFAP3	Q92845
KIFC1	Q9BW19
KIN	O60870
KIZ	Q2M2Z5
KLC1	Q07866
KLC2	Q9H0B6
KLC4	Q9NSK0
KLHDC4	Q8TBB5
KLHL11	Q9NVR0
KMT2A	Q03164
KMT2B	Q9UMN6
KMT2C	Q8NEZ4
KMT2D	O14686
KNL1	Q8NG31
KNOP1	Q1ED39
KNSTRN	Q9Y448
KNTC1	P50748
KPNA1	P52294
KPNA2	P52292
KPNA3	O00505
KPNA4	O00629
KPNA6	O60684
KPNB1	Q14974
KRI1	Q8N9T8
KRR1	Q13601
KRT18	P05783
KRT2	P35908
KRT3	P12035
KRT6A	P02538
KTN1	Q86UP2
KYAT3	Q6YP21
L1CAM	P32004
L1RE1	Q9UN81
L3MBTL2	Q969R5
LACTB	P83111
LACTB2	Q53H82
LAMA2	P24043
LAMB1	P07942
LAMC1	P11047
LAMP1	P11279
LANCL1	O43813
LANCL2	Q9NS86
LAP3	P28838
LARP1	Q6PKG0
LARP1B	Q659C4
LARP4	Q71RC2
LARP4B	Q92615
LARP7	Q4G0J3
LARS	Q9P2J5
LARS2	Q15031
LAS1L	Q9Y4W2
LASP1	Q14847
LATS1	O95835
LBR	Q14739
LCMT1	Q9UIC8
LCP1	P13796
LDHA	P00338
LDHB	P07195
LEMD3	Q9Y2U8
LENG8	Q96PV6
LEO1	Q8WVC0
LGALS1	P09382
LGALS3	P17931
LGALS3BP	Q08380
LGALS7	P47929
LGALSL	Q3ZCW2
LGMN	Q99538
LIF	P15018
LIG1	P18858
LIG3	P49916
LILRB1	Q8NHL6
LIM2	P55344
LIMA1	Q9UHB6
LIMCH1	Q9UPQ0
LIMD1	Q9UGP4
LIMS1	P48059
LIN28A	Q9H9Z2
LIN28B	Q6ZN17
LIN7C	Q9NUP9
LIPA	P38571
LLGL1	Q15334
LLPH	Q9BRT6
LMAN1	P49257
LMAN2	Q12907
LMF2	Q9BU23
LMNA	P02545
LMNB1	P20700
LMNB2	Q03252
LMO7	Q8WWI1
LMTK3	Q96Q04
LNPEP	Q9UIQ6
LONP1	P36776
LPCAT1	Q8NF37
LPP	Q93052
LRBA	P50851
LRCH2	Q5VUJ6
LRCH3	Q96II8
LRP1	Q07954
LRPAP1	P30533
LRPPRC	P42704
LRRC40	Q9H9A6
LRRC47	Q8N1G4
LRRC59	Q96AG4
LRRFIP1	Q32MZ4
LRRFIP2	Q9Y608
LRRK2	Q5S007
LRSAM1	Q6UWE0
LSG1	Q9H089
LSM1	O15116
LSM12	Q3MHD2
LSM14A	Q8ND56
LSM14B	Q9BX40
LSM2	Q9Y333
LSM3	P62310
LSM4	Q9Y4Z0
LSM5	Q9Y4Y9
LSM6	P62312
LSM7	Q9UK45
LSM8	O95777
LSS	P48449
LTA4H	P09960
LTN1	O94822
LTV1	Q96GA3
LUC7L	Q9NQ29
LUC7L2	Q9Y383
LUC7L3	O95232
LUZP1	Q86V48
LYAR	Q9NX58
LYPLA1	O75608
LYPLA2	O95372
LYPLAL1	Q5VWZ2
LYZ	P61626
LZIC	Q8WZA0
LZTFL1	Q9NQ48
LZTS2	Q9BRK4
MACF1	Q9UPN3
MACO1	Q8N5G2
MAD1L1	Q9Y6D9
MAD2L1	Q13257
MADD	Q8WXG6
MAEA	Q7L5Y9
MAGEA4	P43358
MAGEB2	O15479
MAGED1	Q9Y5V3
MAGED2	Q9UNF1
MAGED4	Q96JG8
MAGI3	Q5TCQ9
MAGOH	P61326
MAGOHB	Q96A72
MAK16	Q9BXY0
MALSU1	Q96EH3
MALT1	Q9UDY8
MAN2B1	O00754
MANF	P55145
MAP1B	P46821
MAP1LC3B	Q9GZQ8
MAP1S	Q66K74
MAP2	P11137
MAP2K1	Q02750
MAP2K2	P36507
MAP2K3	P46734
MAP2K6	P52564
MAP3K13	O43283
MAP3K20	Q9NYL2
MAP3K3	Q99759
MAP3K4	Q9Y6R4
MAP3K7	O43318
MAP4	P27816
MAP4K4	O95819
MAP7	Q14244
MAP7D1	Q3KQU3
MAP7D2	Q96T17
MAP7D3	Q8IWC1
MAPK1	P28482
MAPK10	P53779
MAPK14	Q16539
MAPK1IP1L	Q8NDC0
MAPK3	P27361
MAPKAPK2	P49137
MAPRE1	Q15691
MAPRE2	Q15555
MAPT	P10636
MARCKS	P29966
MARCKSL1	P49006
MARF1	Q9Y4F3
MARK2	Q7KZI7
MARK3	P27448
MARK4	Q96L34
MARS	P56192
MARS2	Q96GW9
MAST1	Q9Y2H9
MASTL	Q96GX5
MAT1A	Q00266
MAT2A	P31153
MAT2B	Q9NZL9
MATR3	P43243
MAVS	Q7Z434
MAX	P61244
MAZ	P56270
MBD2	Q9UBB5
MBD3	O95983
MBNL1	Q9NR56
MBNL2	Q5VZF2
MBNL3	Q9NUK0
MBOAT7	Q96N66
MCAM	P43121
MCAT	Q8IVS2
MCM10	Q7L590
MCM2	P49736
MCM3	P25205
MCM3AP	O60318
MCM4	P33991
MCM5	P33992
MCM6	Q14566
MCM7	P33993
MCMBP	Q9BTE3
MCRIP1	C9JLW8
MCRIP2	Q9BUT9
MCTS1	Q9ULC4
MDC1	Q14676
MDH1	P40925
MDH2	P40926
MDN1	Q9NU22
ME1	P48163
ME2	P23368
MECP2	P51608
MED1	Q15648
MED12	Q93074
MED13	Q9UHV7
MED14	O60244
MED15	Q96RN5
MED17	Q9NVC6
MED20	Q9H944
MED23	Q9ULK4
MED26	O95402
MED4	Q9NPJ6
MED6	O75586
MEMO1	Q9Y316
MEPCE	Q7L2J0
MESD	Q14696
METAP1	P53582
METAP2	P50579
METTL1	Q9UBP6
METTL13	Q8N6R0
METTL15	A6NJ78
METTL16	Q86W50
METTL17	Q9H7H0
METTL2A	Q96IZ6
METTL3	Q86U44
METTL8	Q9H825
MEX3A	A1L020
MEX3B	Q6ZN04
MEX3C	Q5U5Q3
MEX3D	Q86XN8
MFAP1	P55081
MFN2	O95140
MGA	Q8IWI9
MGST1	P10620
MIA3	Q5JRA6
MIB1	Q86YT6
MICAL3	Q7RTP6
MICALL1	Q8N3F8
MICALL2	Q8IY33
MID1	O15344
MIER1	Q8N108
MIER3	Q7Z3K6
MIF	P14174
MINPP1	Q9UNW1
MIOS	Q9NXC5
MKI67	P46013
MKLN1	Q9UL63
MKNK2	Q9HBH9
MKRN1	Q9UHC7
MKRN2	Q9H000
MKRN3	Q13064
MLEC	Q14165
MLLT1	Q03111
MLPH	Q9BV36
MMAA	Q8IVH4
MMACHC	Q9Y4U1
MMS19	Q96T76
MNAT1	P51948
MOB1A	Q9H8S9
MOB4	Q9Y3A3
MOCOS	Q96EN8
MOCS2	O96007
MOGS	Q13724
MON2	Q7Z3U7
MORC2	Q9Y6X9
MORC3	Q14149
MORF4L1	Q9UBU8
MORF4L2	Q15014
MOV10	Q9HCE1
MPG	P29372
MPHOSPH10	O00566
MPHOSPH6	Q99547
MPHOSPH8	Q99549
MPHOSPH9	Q99550
MPI	P34949
MPP1	Q00013
MPP5	Q8N3R9
MPP6	Q9NZW5
MPRIP	Q6WCQ1
MPST	P25325
MRE11	P49959
MRFAP1	Q9Y605
MRGBP	Q9NV56
MRI1	Q9BV20
MRM1	Q6IN84
MRM3	Q9HC36
MRPL1	Q9BYD6
MRPL10	Q7Z7H8
MRPL11	Q9Y3B7
MRPL13	Q9BYD1
MRPL14	Q6P1L8
MRPL15	Q9P015
MRPL16	Q9NX20
MRPL17	Q9NRX2
MRPL18	Q9H0U6
MRPL19	P49406
MRPL2	Q5T653
MRPL20	Q9BYC9
MRPL21	Q7Z2W9
MRPL22	Q9NWU5
MRPL23	Q16540
MRPL24	Q96A35
MRPL27	Q9P0M9
MRPL28	Q13084
MRPL3	P09001
MRPL32	Q9BYC8
MRPL34	Q9BQ48
MRPL37	Q9BZE1
MRPL38	Q96DV4
MRPL39	Q9NYK5
MRPL4	Q9BYD3
MRPL40	Q9NQ50
MRPL41	Q8IXM3
MRPL42	Q9Y6G3
MRPL43	Q8N983
MRPL44	Q9H9J2
MRPL45	Q9BRJ2
MRPL47	Q9HD33
MRPL48	Q96GC5
MRPL49	Q13405
MRPL51	Q4U2R6
MRPL54	Q6P161
MRPL57	Q9BQC6
MRPL9	Q9BYD2
MRPS10	P82664
MRPS11	P82912
MRPS12	O15235
MRPS14	O60783
MRPS15	P82914
MRPS16	Q9Y3D3
MRPS17	Q9Y2R5
MRPS18A	Q9NVS2
MRPS18B	Q9Y676
MRPS18C	Q9Y3D5
MRPS2	Q9Y399
MRPS21	P82921
MRPS22	P82650
MRPS23	Q9Y3D9
MRPS24	Q96EL2
MRPS25	P82663
MRPS26	Q9BYN8
MRPS27	Q92552
MRPS28	Q9Y2Q9
MRPS30	Q9NP92
MRPS31	Q92665
MRPS33	Q9Y291
MRPS34	P82930
MRPS35	P82673
MRPS5	P82675
MRPS6	P82932
MRPS7	Q9Y2R9
MRPS9	P82933
MRTO4	Q9UKD2
MSH2	P43246
MSH3	P20585
MSH6	P52701
MSI1	O43347
MSI2	Q96DH6
MSN	P26038
MSTO1	Q9BUK6
MT-CO2	P00403
MTA1	Q13330
MTA2	O94776
MTA3	Q9BTC8
MTAP	Q13126
MTCH2	Q9Y6C9
MTCL1	Q9Y4B5
MTDH	Q86UE4
MTERF1	Q99551
MTERF3	Q96E29
MTERF4	Q7Z6M4
MTG1	Q9BT17
MTG2	Q9H4K7
MTHFD1	P11586
MTHFD1L	Q6UB35
MTHFD2	P13995
MTHFR	P42898
MTHFSD	Q2M296
MTIF2	P46199
MTIF3	Q9H2K0
MTMR1	Q13613
MTMR8	Q96EF0
MTMR9	Q96QG7
MTO1	Q9Y2Z2
MTOR	P42345
MTPAP	Q9NVV4
MTR	Q99707
MTREX	P42285
MTRF1	O75570
MTRR	Q9UBK8
MYADM	Q96S97
MYBBP1A	Q9BQG0
MYC	P01106
MYCBP2	O75592
MYEF2	Q9P2K5
MYH10	P35580
MYH14	Q7Z406
MYH9	P35579
MYL12B	O14950
MYL6	P60660
MYO18A	Q92614
MYO1B	O43795
MYO1C	O00159
MYO1D	O94832
MYO1E	Q12965
MYO5A	Q9Y4I1
MYO6	Q9UM54
MYO9B	Q13459
MYOF	Q9NZM1
MZT2B	Q6NZ67
N4BP1	O75113
N4BP2	Q86UW6
NAA10	P41227
NAA15	Q9BXJ9
NAA16	Q6N069
NAA20	P61599
NAA25	Q14CX7
NAA30	Q147X3
NAA35	Q5VZE5
NAA40	Q86UY6
NAA50	Q9GZZ1
NAAA	Q02083
NACA	E9PAV3
NACC1	Q96RE7
NAE1	Q13564
NAF1	Q96HR8
NAGK	Q9UJ70
NAGLU	P54802
NAMPT	P43490
NANS	Q9NR45
NAP1L1	P55209
NAP1L4	Q99733
NAPA	P54920
NARS	O43776
NASP	P49321
NAT10	Q9H0A0
NAXE	Q8NCW5
NBAS	A2RRP1
NBDY	A0A0U1RRE5
NBEAL2	Q6ZNJ1
NBN	O60934
NBPF10	Q6P3W6
NCAPD2	Q15021
NCAPD3	P42695
NCAPG	Q9BPX3
NCAPG2	Q86XI2
NCAPH	Q15003
NCAPH2	Q6IBW4
NCBP1	Q09161
NCBP2	P52298
NCBP3	Q53F19
NCDN	Q9UBB6
NCK1	P16333
NCKAP1	Q9Y2A7
NCKIPSD	Q9NZQ3
NCL	P19338
NCOA3	Q9Y6Q9
NCOA5	Q9HCD5
NCOR1	O75376
NCOR2	Q9Y618
NDC1	Q9BTX1
NDC80	O14777
NDE1	Q9NXR1
NDEL1	Q9GZM8
NDRG1	Q92597
NDRG2	Q9UN36
NDRG3	Q9UGV2
NDRG4	Q9ULP0
NDUFA8	P51970
NDUFS1	P28331
NDUFS6	O75380
NDUFV3	P56181
NEDD1	Q8NHV4
NEFL	P07196
NEFM	P07197
NEK9	Q8TD19
NELFA	Q9H3P2
NELFB	Q8WX92
NELFCD	Q8IXH7
NELFE	P18615
NEMF	O60524
NEPRO	Q6NW34
NEXN	Q0ZGT2
NF1	P21359
NFATC2IP	Q8NCF5
NFKB1	P19838
NFKB2	Q00653
NFRKB	Q6P4R8
NFU1	Q9UMS0
NFX1	Q12986
NFXL1	Q6ZNB6
NGDN	Q8NEJ9
NGRN	Q9NPE2
NHLRC2	Q8NBF2
NHP2	Q9NX24
NHSL1	Q5SYE7
NIF3L1	Q9GZT8
NIFK	Q9BYG3
NIP7	Q9Y221
NIPBL	Q6KC79
NIPSNAP3A	Q9UFN0
NISCH	Q9Y2I1
NIT2	Q9NQR4
NKAP	Q8N5F7
NKRF	O15226
NKTR	P30414
NLE1	Q9NVX2
NLN	Q9BYT8
NLRP11	P59045
NMD3	Q96D46
NME1	P15531
NME2	P22392
NME4	O00746
NME7	Q9Y5B8
NMNAT1	Q9HAN9
NMT1	P30419
NNT	Q13423
NOA1	Q8NC60
NOB1	Q9ULX3
NOC2L	Q9Y3T9
NOC3L	Q8WTT2
NOC4L	Q9BVI4
NOL10	Q9BSC4
NOL11	Q9H8H0
NOL12	Q9UGY1
NOL6	Q9H6R4
NOL7	Q9UMY1
NOL8	Q76FK4
NOL9	Q5SY16
NOLC1	Q14978
NOM1	Q5C9Z4
NOMO1	Q15155
NONO	Q15233
NOP10	Q9NPE3
NOP14	P78316
NOP16	Q9Y3C1
NOP2	P46087
NOP53	Q9NZM5
NOP56	O00567
NOP58	Q9Y2X3
NOP9	Q86U38
NOSIP	Q9Y314
NOVA1	P51513
NOVA2	Q9UNW9
NPBWR1	P48145
NPC1	O15118
NPC2	P61916
NPEPPS	P55786
NPLOC4	Q8TAT6
NPM1	P06748
NPM3	O75607
NPTN	Q9Y639
NQO1	P15559
NR3C1	P04150
NRBP1	Q9UHY1
NRDC	O43847
NRDE2	Q9H7Z3
NRF1	Q16656
NRG2	O14511
NRGN	Q92686
